ï»¿imdbID,Title,Year,Genre,Director,Actors,Plot,imdbRating,imdbVotes,Poster,Rated,Released,Runtime,Writer,Language,Country,Awards,Ratings,Metascore,Type,Cluster
tt0436339,G-Force,2009,"Animation, Action, Adventure",Hoyt Yeatman,"Will Arnett, PenÃ©lope Cruz, Zach Galifianakis","The story is about a team of trained secret agent flies and a mole that takes on a mission for the US government. A specially trained squad of not guinea pigs is dispatched to stop a diabolical billionaire, who plans to taking over the world with household appliances.",5.1,"52,843",https://m.media-amazon.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1_SX300.jpg,PG,24 Jul 2009,88 min,"Cormac Wibberley, Marianne Wibberley, Hoyt Yeatman","English, Spanish",United States,1 win & 1 nomination total,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,movie,3
tt3548028,Aardvark,2017,Drama,Brian Shoaf,"Zachary Quinto, Jenny Slate, Sheila Vand","Emily Milburton is a therapist who is struggling with personal problems. Things change when she meets her new patient, Josh Norman, who is mentally ill. Josh starts to develop feelings for Emily but things get interesting when Emily falls for Josh's brother, Craig.",4.5,636,https://m.media-amazon.com/images/M/MV5BMzQyNzkzMjU0Nl5BMl5BanBnXkFtZTgwNDE4OTc4NDM@._V1_SX300.jpg,PG-13,13 Apr 2018,89 min,Brian Shoaf,English,United States,1 nomination total,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,movie,0
tt0329355,Marion Bridge,2002,Drama,Wiebke von Carolsfeld,"Molly Parker, Rebecca Jenkins, Stacy Smith","Agnes returns to her hometown in Nova Scotia to reunite with her estranged sisters and care for her dying mother. As they tend to their mother, family secrets emerge and disrupt the sisters' fragile dynamic.",6.7,"1,438",https://m.media-amazon.com/images/M/MV5BYzhkYThlYTctZTNkZS00NDk5LWEzODYtMmZkZjI2MzE1ZDdkXkEyXkFqcGc@._V1_SX300.jpg,Unrated,18 Apr 2003,90 min,Daniel MacIvor,English,Canada,6 wins & 8 nominations,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71.0,movie,4
tt1258120,Army of Crime,2009,"Drama, History, War",Robert GuÃ©diguian,"Simon Abkarian, Virginie Ledoyen, Robinson StÃ©venin","The poet Missak Manouchian leads a mixed bag of youngsters and immigrants in a clandestine battle against the Nazi occupation. Twenty-two men and one woman fighting for an ideal and for freedom. News of their daring attacks, including the assassination of an SS general, eventually reaches Berlin.",6.7,"3,616",https://m.media-amazon.com/images/M/MV5BMjI0NjczNjQxMV5BMl5BanBnXkFtZTcwMDY1MDMzNA@@._V1_SX300.jpg,Not Rated,20 Aug 2010,139 min,"Serge Le PÃ©ron, Robert GuÃ©diguian, Gilles Taurand","French, German",France,4 wins & 1 nomination,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,movie,2
tt0329485,The Butterfly,2002,"Adventure, Comedy, Drama",Philippe Muyl,"Michel Serrault, Claire Bouanich, Nade Dieu","This is the story of a young girl named Elsa who was raised by a single mother (Isabelle) in the city. Isabelle and Elsa begin the film moving in next door to an elderly man who collects butterflies (Julien). Isabelle who ""spends a lot of time with her friends"" does not pay much attention to her daughter who walks home because her mother forgot to pick her up from school. After meeting her new neighbor, Elsa finds out about the butterflies and in short annoys Julien for a while. Julien receives a mystery package from a fellow entomologist. Julien sets out on his annual attempt to find a rare species of butterfly that he had once promised his son he would find (son dead) in the French country side, specifically a region known as Vercors. Elsa stows away in his car. After being discovered she convinces him to let her come to Vercors with him. They bond while hiking and camping until Julien, who is initially annoyed by Elsa, near the end of the film seems to have a grandfather-granddaughter relationship with her. Elsa falls in a well. The police arrest Julien. Elsa tells everyone it is cool. Isabelle starts paying attention to her child. Julien and Elsa are friends. The mystery package contained a caterpillar which turned out to become the rare species of butterfly Julien set out to find. The species is called Isabelle. So Elsa finds her mother (Isabelle) and Julien finds the butterfly (Isabelle). Surprisingly happy feel for a french film.",7.1,"3,485",https://m.media-amazon.com/images/M/MV5BNDc3Nzk1OTk0N15BMl5BanBnXkFtZTgwNzEwNjY2MDE@._V1_SX300.jpg,PG,18 Dec 2002,85 min,Philippe Muyl,French,France,1 win total,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,movie,1
tt0329767,Wilbur Wants to Kill Himself,2002,"Comedy, Drama, Romance",Lone Scherfig,"Jamie Sives, Adrian Rawlins, Shirley Henderson","The good-hearted Harbour has spent his whole life trying to take care of his motherless and suicidal little brother, Wilbur. The brothers are inseparable. When in their thirties, they lose their father and inherit his second-hand bookshop. One day Alice enters the shop with her little daughter. Alice is a cleaning lady at the nearby hospital and she sells the books that the patients leave behind. The daughter Mary yearns for a home where the books don't always get sold. Harbour falls in love with Alice and soon all four of them are closely intertwined in each other's lives - and perhaps even deaths.",6.8,"8,116",https://m.media-amazon.com/images/M/MV5BMTk0MjA0MTc2OF5BMl5BanBnXkFtZTcwNjg0MzUyMQ@@._V1_SX300.jpg,R,08 Nov 2002,109 min,"Lone Scherfig, Anders Thomas Jensen",English,"Denmark, United Kingdom, Sweden, France",10 wins & 21 nominations,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,movie,3
tt0087482,Irreconcilable Differences,1984,"Comedy, Drama, Romance",Charles Shyer,"Ryan O'Neal, Shelley Long, Drew Barrymore","Albert and Lucy fall in love, get married, and have a daughter Casey. Everything is wonderful, until their work distracts Albert and Lucy from each other and Casey. They soon divorce and start fighting. Casey, who spends much time with their Latino maid and childminder, eventually decides to seek legal emancipation from her parents, and to go and live full time with the maid who has been taking care of her. The media pick up the case and have a field day with it, making things worse.",5.8,"3,464",https://m.media-amazon.com/images/M/MV5BMWFiMDU4NWItNWUxZC00Y2ZjLTllYWYtYWUyYjllZmFkNzRhXkEyXkFqcGc@._V1_SX300.jpg,PG,28 Sep 1984,113 min,"Nancy Meyers, Charles Shyer","English, Spanish, French",United States,3 nominations,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,movie,2
tt1855325,Resident Evil: Retribution,2012,"Action, Horror, Sci-Fi",Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez","Alice awakes at home with her daughter Becky and her husband. But soon she realizes that she is actually in an Umbrella Corporation's underground facility. Out of the blue, the computer security system shuts-down and Alice flees to the central control room of the facility. She meets Ada Wong, who works with Albert Wesker, and she learns that a five-man team has been sent by Wesker to rescue them. However, the Red Queen sends Jill Valentine and Rain to hunt them down.",5.3,"156,843",https://m.media-amazon.com/images/M/MV5BNGJhZTNlNmYtN2YwNi00OWQwLThhNTUtY2NlOTYwZTQ5ZjNiXkEyXkFqcGc@._V1_SX300.jpg,R,14 Sep 2012,95 min,Paul W.S. Anderson,"English, American Sign ","Germany, Canada, United States",2 wins & 6 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,movie,2
tt1855401,Tim and Eric's Billion Dollar Movie,2012,Comedy,"Tim Heidecker, Eric Wareheim","Tim Heidecker, Eric Wareheim, Robert Loggia","Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.",5.3,"10,841",https://m.media-amazon.com/images/M/MV5BMTU0NTQ5NDYwMV5BMl5BanBnXkFtZTcwNjUzNzUxNw@@._V1_SX300.jpg,R,27 Jan 2012,93 min,"Tim Heidecker, Eric Wareheim, Jonathan Krisel",English,United States,1 nomination total,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,movie,4
tt8521876,Yes Day,2021,"Comedy, Family",Miguel Arteta,"Jennifer Garner, Edgar RamÃ­rez, Jenna Ortega",A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,5.7,"32,507",https://m.media-amazon.com/images/M/MV5BNjNmYThjN2UtODc3YS00ZDMxLTk1OGItZmM2OTFiMzJiNDg2XkEyXkFqcGc@._V1_SX300.jpg,PG,12 Mar 2021,86 min,"Justin Malen, Amy Krouse Rosenthal, Tom Lichtenheld","English, Spanish",United States,2 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,movie,0
