Title,Plot_clean,Genre_list
The Lego Movie 2: The Second Part,five year since everything awesome citizen facing huge new threat lego duplo invader outer space wrecking everything faster rebuild,"['Animation', 'Adventure', 'Comedy']"
PAW Patrol: The Movie,paw patrol biggest rival mayor humdinger becomes mayor nearby adventure city start wreaking havoc ryder everyones favorite heroic pup kick high gear face challenge headon one pup must face past adventure city team find help new ally savvy dachshund liberty together armed exciting new gadget gear paw patrol fight save citizen adventure city stop mayor humdinger destroying bustling metropolis,"['Animation', 'Action', 'Adventure']"
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,tanjiro kamado joined inosuke hashibira boy raised boar wear boar head zenitsu agatsuma scared boy reveals true power sleep board infinity train new mission flame pillar kyojuro rengoku defeat demon tormenting people killing demon slayer oppose,"['Animation', 'Action', 'Adventure']"
The Garfield Movie,garfield unexpected reunion longlost father ragged alley cat vic canine friend odie forced perfectly pampered life join vic risky heist,"['Animation', 'Adventure', 'Comedy']"
The Bob's Burgers Movie,story begin ruptured water main creates enormous sinkhole right front bob burger blocking entrance indefinitely ruining belchers plan successful summer bob linda struggle keep business afloat kid try solve mystery could save family restaurant danger mount underdog help find hope fight get back behind counter belong,"['Animation', 'Adventure', 'Comedy']"
The Super Mario Bros. Movie,brooklyn plumber mario luigi warped magical mushroom kingdom mario must team princess peach toad donkey kong save luigi evil bowser,"['Animation', 'Adventure', 'Comedy']"
The Angry Birds Movie 2,saving bird island allout greenpig invasion angry bird isle always cranky local hero red still find battle pig island prank war pig bird raging massive icy projectile coming feathery tyrant zeta icecapped eagle island threaten security haven unless red king leonard agree form difficult honest truce red bomb mighty eagle chuck brilliant sister silver join force leonard mighty porcine team thwart megalomaniac zeta bold scheme world domination however red capable change,"['Animation', 'Action', 'Adventure']"
Attack on Titan the Movie: The Last Attack,fate world hang balance eren unleashes ultimate power titan burning determination eliminate threaten eldia lead unstoppable army colossal titan towards marley,"['Animation', 'Action', 'Adventure']"
Ray Donovan: The Movie,showdown decade making brings donovan family legacy full circle find drawn back boston struggling overcome violent upbringing fierce love keep fight,"['Crime', 'Thriller']"
The Loud House Movie,nickelodeon loud house movie biggest family television go biggest loud family vacation ever adventure follows loud family scotland discover descendant scottish royalty family quickly indulges wishfulfilling highlife ever discover ancestral home castle,"['Animation', 'Adventure', 'Comedy']"
Rise of the Teenage Mutant Ninja Turtles: The Movie,rise tmnt mysterious stranger arrives future dire warning leo forced rise lead brother raph donnie mikey fight save world terrifying alien speciesthe krang,"['Animation', 'Action', 'Adventure']"
